ZONA;MUNICIPIO;NoMicro;Nome Maq;IP LAN;IP WAN
41;Ibiara;1;ZPB041STD21;10.183.161.201;10.183.161.70
41;Santa Inês;2;ZPB041STD22;10.183.160.202;10.183.160.70
41;Santana de Mangueira;3;ZPB041STD23;10.183.162.203;10.183.162.70
66;Aguiar;1;ZPB066STD21;10.183.216.201;10.183.216.70
66;Igaracy;2;ZPB066STD22;10.183.215.202;10.183.215.70
66;Nova Olinda;3;ZPB066STD23;10.183.213.203;10.183.213.70
66;Santana dos Garrotes;4;ZPB066STD24;10.183.214.204;10.183.214.70
31;Lagoa;1;ZPB031STD21;10.183.130.201;10.183.130.70
31;Paulista;2;ZPB031STD22;10.183.128.202;10.183.128.70
31;São Domingos de Pombal;3;ZPB031STD23;10.183.129.203;10.183.129.70
36;Bom Sucesso;1;ZPB036STD21;10.183.147.201;10.183.147.70
36;Brejo dos Santos;2;ZPB036STD22;10.183.150.202;10.183.150.70
36;Jericó;3;ZPB036STD23;10.183.148.203;10.183.148.70
36;Mato Grosso;4;ZPB036STD24;10.183.149.204;10.183.149.70
36;Riacho dos Cavalos;5;ZPB036STD25;10.183.146.205;10.183.146.70
37;Bernardino Batista;1;ZPB037STD21;10.183.155.201;10.183.155.70
37;Poço de José de Moura;2;ZPB037STD22;10.183.152.202;10.183.152.70
37;Santa Helena;3;ZPB037STD23;10.183.153.203;10.183.153.70
37;São João do Rio do Peixe;4;ZPB037STD24;10.183.151.204;10.183.151.70
37;Triunfo;5;ZPB037STD25;10.183.154.205;10.183.154.70
42;Bom Jesus;1;ZPB042STD21;10.183.164.201;10.183.164.70
42;Cajazeiras;2;ZPB042STD22;10.183.163.202;10.183.163.70
53;Poço Dantas;1;ZPB053STD21;10.183.173.201;10.183.173.70
53;Santarém;2;ZPB053STD22;10.183.174.202;10.183.174.70
63;Aparecida;1;ZPB063STD21;10.183.191.201;10.183.191.70
63;Lastro;2;ZPB063STD22;10.183.194.202;10.183.194.70
63;Nazarezinho;3;ZPB063STD23;10.183.195.203;10.183.195.70
63;Santa Cruz;4;ZPB063STD24;10.183.192.204;10.183.192.70
63;São Francisco;5;ZPB063STD25;10.183.189.205;10.183.189.70
63;São José da Lagoa Tapada;6;ZPB063STD26;10.183.193.206;10.183.193.70
63;Sousa;7;ZPB063STD27;10.183.188.207;10.183.188.70
63;Vieiropolis;8;ZPB063STD28;10.183.190.208;10.183.190.70
68;Cachoeira dos Índios;1;ZPB068STD21;10.183.218.201;10.183.218.70
30;Cacimbas;1;ZPB030STD21;10.183.125.201;10.183.125.70
30;Cacimbas;2;ZPB030STD22;10.183.126.202;10.183.126.70
30;Desterro;3;ZPB030STD23;10.183.122.203;10.183.122.70
30;Imaculada;4;ZPB030STD24;10.183.124.204;10.183.124.70
30;Imaculada;5;ZPB030STD25;10.183.127.205;10.183.127.70
30;Mãe D Água;6;ZPB030STD26;10.183.123.206;10.183.123.70
30;Matureia;7;ZPB030STD27;10.183.121.207;10.183.121.70
34;Água Branca;1;ZPB034STD21;10.183.144.201;10.183.144.70
34;Juru;2;ZPB034STD22;10.183.142.202;10.183.142.70
34;Manaira;3;ZPB034STD23;10.183.145.203;10.183.145.70
34;Manaira;4;ZPB034STD24;10.183.140.204;10.183.140.70
34;São José de Princesa;5;ZPB034STD25;10.183.143.205;10.183.143.70
34;Tavares;6;ZPB034STD26;10.183.141.206;10.183.141.70

